,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,Total Score
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,11/7/2020 9:43,photo,Studying,negative,0,54269
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,6/17/2021 12:22,photo,Studying,negative,10,54269
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,4/18/2021 5:13,photo,Studying,negative,15,54269
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,1/6/2021 19:13,photo,Studying,negative,0,54269
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,8/23/2020 12:25,photo,Studying,positive,30,54269
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,12/7/2020 6:27,photo,Studying,neutral,35,54269
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,4/11/2021 17:35,photo,Studying,positive,70,54269
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,1/27/2021 8:32,photo,Studying,negative,5,54269
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,4/1/2021 22:54,photo,Studying,neutral,35,54269
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,8/4/2020 5:05,photo,Studying,positive,65,54269
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,11/7/2020 8:36,photo,Studying,neutral,20,54269
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,11/2/2020 6:28,photo,Studying,negative,15,54269
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,11/1/2020 1:16,photo,Studying,positive,30,54269
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,10/7/2020 18:39,photo,Studying,negative,5,54269
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,9/3/2020 18:51,photo,Studying,negative,15,54269
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/24/2021 5:09,photo,Studying,positive,75,54269
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,9/23/2020 6:24,photo,Studying,neutral,35,54269
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2/24/2021 11:37,photo,Studying,neutral,20,54269
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,5/22/2021 19:44,photo,Studying,positive,30,54269
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,1/31/2021 16:03,photo,Studying,positive,45,54269
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,11/20/2020 17:26,photo,Studying,neutral,35,54269
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,4/11/2021 20:47,photo,Studying,negative,12,54269
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,6/13/2021 16:46,photo,Studying,positive,50,54269
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,4/11/2021 14:29,photo,Studying,positive,60,54269
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,3/2/2021 19:21,photo,Studying,negative,12,54269
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,6/27/2020 18:44,photo,Studying,negative,5,54269
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5/9/2021 21:05,photo,Studying,negative,5,54269
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,8/4/2020 23:58,photo,Studying,positive,70,54269
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,8/28/2020 3:57,photo,Studying,positive,75,54269
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,8/25/2020 8:21,photo,Studying,positive,45,54269
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,4/20/2021 23:48,photo,Studying,negative,15,54269
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,3/7/2021 12:40,photo,Studying,positive,30,54269
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,5/24/2021 3:21,photo,Studying,neutral,20,54269
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,1/24/2021 11:03,photo,Studying,positive,75,54269
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,4/9/2021 2:46,photo,Studying,negative,0,54269
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/2/2021 3:43,photo,Studying,positive,75,54269
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2/4/2021 3:06,photo,Studying,positive,30,54269
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,11/9/2020 2:49,photo,Studying,negative,10,54269
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,9/29/2020 16:00,photo,Studying,negative,15,54269
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,11/29/2020 21:33,photo,Studying,negative,10,54269
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2/13/2021 7:54,photo,Studying,positive,70,54269
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,7/14/2020 5:28,photo,Studying,positive,30,54269
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,8/23/2020 10:30,photo,Studying,neutral,20,54269
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,5/10/2021 9:27,photo,Studying,negative,12,54269
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,3/15/2021 3:59,photo,Studying,negative,5,54269
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,6/25/2020 17:01,photo,healthy eating,negative,10,69339
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,9/13/2020 0:11,photo,healthy eating,positive,45,69339
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,8/20/2020 18:17,photo,healthy eating,neutral,35,69339
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,2/11/2021 4:53,photo,healthy eating,negative,15,69339
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,3/8/2021 10:40,photo,healthy eating,negative,5,69339
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,3/28/2021 21:15,photo,healthy eating,negative,0,69339
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,5/25/2021 1:00,photo,healthy eating,negative,5,69339
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,3/15/2021 12:17,photo,healthy eating,positive,50,69339
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,5/5/2021 16:26,photo,healthy eating,positive,65,69339
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,8/31/2020 0:21,photo,healthy eating,positive,65,69339
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,6/16/2021 3:02,photo,healthy eating,positive,60,69339
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,7/7/2020 10:52,photo,healthy eating,neutral,20,69339
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,8/20/2020 7:59,photo,healthy eating,neutral,35,69339
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,9/23/2020 11:15,photo,healthy eating,positive,65,69339
61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,3/24/2021 5:56,photo,healthy eating,positive,50,69339
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,12/7/2020 19:13,photo,healthy eating,negative,5,69339
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,8/3/2020 16:41,photo,healthy eating,positive,75,69339
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,1/10/2021 15:36,photo,healthy eating,positive,72,69339
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,9/20/2020 8:48,photo,healthy eating,negative,15,69339
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,7/20/2020 14:06,photo,healthy eating,positive,70,69339
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10/24/2020 12:15,photo,healthy eating,positive,72,69339
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,6/6/2021 1:27,photo,healthy eating,positive,30,69339
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,12/25/2020 0:09,photo,healthy eating,positive,60,69339
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,6/14/2021 7:56,photo,healthy eating,positive,50,69339
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,6/5/2021 18:00,photo,healthy eating,positive,50,69339
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,11/18/2020 23:37,photo,healthy eating,negative,5,69339
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,5/9/2021 2:42,photo,healthy eating,positive,30,69339
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,5/11/2021 8:38,photo,healthy eating,negative,10,69339
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,11/12/2020 8:00,photo,healthy eating,neutral,35,69339
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,6/21/2020 16:57,photo,healthy eating,positive,60,69339
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,3/4/2021 23:58,photo,healthy eating,positive,75,69339
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,7/9/2020 16:47,photo,healthy eating,positive,70,69339
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,8/1/2020 19:16,photo,healthy eating,negative,5,69339
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,11/23/2020 22:46,photo,healthy eating,negative,10,69339
82,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,12/11/2020 14:08,photo,healthy eating,negative,15,69339
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,4/23/2021 23:41,photo,healthy eating,negative,10,69339
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,11/13/2020 0:33,photo,healthy eating,positive,70,69339
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,6/9/2021 10:13,photo,healthy eating,positive,30,69339
