sales_id,retailer,retailer_id,invoice_date,region,state,city,Gender,Product_Type,total_sales,operating_profit,sales_method
1,Foot Locker,1185732,11/6/2021,Southeast,South Carolina,Charleston,Men's,Street Footwear,"$13,900",$792,Online
2,Foot Locker,1185732,3/14/2020,Northeast,New York,New York,Men's,Apparel,"$12,788",$435,Outlet
3,West Gear,1128299,1/19/2021,West,California,San Francisco,Men's,Athletic Footwear,"$13,066",$287,Outlet
4,Walmart,1128299,6/17/2021,Southeast,Florida,Orlando,Women's,Apparel,"$22,454","$1,257",Online
5,Sports Direct,1197831,9/14/2021,South,Alabama,Birmingham,Women's,Street Footwear,"$10,008",$530,Outlet
6,West Gear,1197831,7/6/2021,West,Idaho,Boise,Women's,Street Footwear,"$9,452",$397,Outlet
7,West Gear,1128299,1/12/2021,West,California,San Francisco,Men's,Street Footwear,"$15,512",$698,Online
8,Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's,Street Footwear,"$9,936",$467,Online
9,Walmart,1197831,8/17/2020,South,Texas,Houston,Women's,Apparel,"$10,212",$643,Online
10,West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Women's,Apparel,"$16,789",$806,Online
11,Sports Direct,1197831,8/25/2021,South,Alabama,Birmingham,Men's,Street Footwear,"$7,000","$3,150",Outlet
12,Sports Direct,1185732,3/2/2021,Southeast,North Carolina,Charlotte,Men's,Street Footwear,"$7,728",$417,Online
13,Sports Direct,1197831,8/23/2021,South,Alabama,Birmingham,Men's,Apparel,"$6,875","$2,750",Outlet
14,Sports Direct,1197831,8/27/2021,South,Alabama,Birmingham,Women's,Street Footwear,"$8,625","$3,881",Outlet
15,Sports Direct,1197831,8/21/2021,South,Alabama,Birmingham,Women's,Street Footwear,"$7,125","$3,206",Outlet
16,West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,Women's,Street Footwear,"$7,125","$2,494",In-store
17,Sports Direct,1185732,11/17/2021,South,Mississippi,Jackson,Men's,Athletic Footwear,"$9,000","$3,150",Online
18,Sports Direct,1197831,1/23/2021,South,Mississippi,Jackson,Women's,Street Footwear,"$6,750","$2,700",Online
19,West Gear,1185732,4/3/2021,Midwest,Wisconsin,Milwaukee,Men's,Street Footwear,"$9,000","$2,700",In-store
20,Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's,Street Footwear,"$19,096",$993,Outlet
21,Foot Locker,1185732,1/18/2021,Midwest,Michigan,Detroit,Women's,Athletic Footwear,"$6,875","$2,750",In-store
22,Foot Locker,1185732,4/18/2021,Midwest,Missouri,St. Louis,Men's,Athletic Footwear,"$8,250","$2,888",In-store
23,Foot Locker,1185732,4/18/2021,Midwest,Missouri,St. Louis,Women's,Street Footwear,"$5,500","$1,925",In-store
24,Foot Locker,1185732,9/19/2021,Midwest,Missouri,St. Louis,Women's,Athletic Footwear,"$4,125","$1,650",In-store
25,Foot Locker,1185732,9/19/2021,Midwest,Missouri,St. Louis,Men's,Apparel,"$6,875","$2,406",In-store
26,West Gear,1185732,5/12/2021,West,Utah,Salt Lake City,Women's,Athletic Footwear,"$6,875","$2,750",In-store
27,West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Women's,Athletic Footwear,"$5,500","$2,200",In-store
28,West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Men's,Apparel,"$8,250","$2,888",In-store
29,Foot Locker,1185732,3/16/2021,South,Mississippi,Jackson,Women's,Athletic Footwear,"$5,500","$2,200",Online
30,Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,Women's,Athletic Footwear,"$5,500","$2,200",Online
31,Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,Men's,Apparel,"$8,250","$2,888",Online
32,West Gear,1197831,2/21/2021,South,Arkansas,Little Rock,Men's,Athletic Footwear,"$6,875","$2,406",Online
33,West Gear,1197831,3/19/2021,South,Oklahoma,Oklahoma City,Women's,Street Footwear,"$2,750","$1,100",Online
34,West Gear,1197831,3/19/2021,South,Oklahoma,Oklahoma City,Women's,Apparel,"$6,875","$2,750",Online
35,West Gear,1197831,9/19/2021,South,Oklahoma,Oklahoma City,Women's,Street Footwear,"$4,125","$1,650",Online
36,Foot Locker,1197831,11/13/2021,Midwest,Kansas,Wichita,Men's,Athletic Footwear,"$4,125","$1,444",Online
37,Foot Locker,1185732,1/18/2021,Midwest,Michigan,Detroit,Women's,Street Footwear,"$8,500","$2,975",In-store
38,West Gear,1185732,2/11/2021,Midwest,Missouri,St. Louis,Women's,Street Footwear,"$6,375","$2,231",In-store
39,Foot Locker,1185732,1/12/2021,Midwest,Kansas,Wichita,Women's,Street Footwear,"$8,250","$2,475",Online
40,Sports Direct,1185732,1/9/2021,Midwest,South Dakota,Sioux Falls,Women's,Street Footwear,"$6,875","$2,063",Online
41,Sports Direct,1185732,2/9/2021,Midwest,North Dakota,Fargo,Women's,Apparel,"$6,875","$2,750",Online
42,West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Women's,Street Footwear,"$8,500","$2,975",In-store
43,Foot Locker,1185732,6/6/2021,Midwest,Iowa,Des Moines,Men's,Athletic Footwear,"$8,250","$2,888",In-store
44,Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,Women's,Street Footwear,"$8,500","$3,400",Online
45,Foot Locker,1185732,3/16/2021,South,Mississippi,Jackson,Women's,Street Footwear,"$6,375","$2,550",Online
46,Foot Locker,1185732,9/7/2021,Midwest,Iowa,Des Moines,Men's,Athletic Footwear,"$8,250","$2,888",In-store
47,West Gear,1185732,3/9/2021,Midwest,Indiana,Indianapolis,Women's,Street Footwear,"$4,125","$1,444",In-store
48,Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Women's,Street Footwear,"$8,500","$3,400",Online
49,Walmart,1197831,2/21/2021,South,Arkansas,Little Rock,Women's,Apparel,"$8,500","$3,400",Online
50,Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,Men's,Athletic Footwear,"$8,500","$2,975",Online
51,West Gear,1185732,3/9/2021,Midwest,Indiana,Indianapolis,Women's,Apparel,"$6,875","$2,750",In-store
52,West Gear,1185732,9/11/2021,Midwest,Indiana,Indianapolis,Men's,Athletic Footwear,"$8,250","$3,300",In-store
53,Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's,Street Footwear,"$20,160","$1,129",Outlet
54,West Gear,1185732,3/16/2021,Northeast,West Virginia,Charleston,Men's,Athletic Footwear,"$8,250","$3,300",In-store
55,Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's,Street Footwear,"$15,912",$875,Outlet
56,Foot Locker,1185732,2/15/2021,Northeast,Maryland,Baltimore,Women's,Street Footwear,"$8,250","$3,300",In-store
57,Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's,Street Footwear,"$18,538","$1,038",Outlet
58,Foot Locker,1185732,3/13/2021,Northeast,Delaware,Wilmington,Women's,Street Footwear,"$8,250","$3,300",In-store
59,West Gear,1185732,3/10/2021,West,Utah,Salt Lake City,Women's,Street Footwear,"$8,000","$2,800",In-store
60,West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Women's,Athletic Footwear,"$8,000","$3,200",In-store
61,Kohl's,1185732,1/10/2021,Northeast,Delaware,Wilmington,Women's,Street Footwear,"$6,875","$2,750",In-store
62,West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Men's,Athletic Footwear,"$8,000","$2,800",In-store
63,Walmart,1185732,4/28/2020,Northeast,New York,New York,Men's,Athletic Footwear,"$14,469",$622,Online
64,West Gear,1128299,1/6/2021,West,California,San Francisco,Men's,Street Footwear,"$15,288",$764,Online
65,West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Men's,Athletic Footwear,"$8,000","$2,800",In-store
66,West Gear,1128299,1/18/2021,West,California,San Francisco,Men's,Street Footwear,"$16,926",$779,Online
67,West Gear,1128299,2/12/2021,West,California,San Francisco,Men's,Athletic Footwear,"$15,834",$428,Online
68,Kohl's,1189833,5/25/2021,West,California,Los Angeles,Men's,Street Footwear,"$12,285",$565,Outlet
69,Sports Direct,1197831,9/24/2021,South,Texas,Dallas,Women's,Street Footwear,"$12,558",$691,Online
70,Foot Locker,1185732,8/6/2020,West,Washington,Seattle,Men's,Street Footwear,"$12,012",$661,Online
71,Foot Locker,1185732,6/7/2021,Southeast,South Carolina,Charleston,Men's,Street Footwear,"$13,923",$780,Online
72,Walmart,1197831,8/11/2020,South,Texas,Houston,Women's,Apparel,"$7,344",$404,Outlet
73,Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Women's,Athletic Footwear,"$8,000","$3,200",Online
74,Walmart,1197831,9/11/2020,South,Texas,Houston,Men's,Street Footwear,"$8,432",$329,Outlet
75,West Gear,1128299,11/13/2020,West,California,San Francisco,Men's,Street Footwear,"$9,792",$382,Outlet
76,Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's,Street Footwear,"$8,478",$348,Outlet
77,Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,Women's,Street Footwear,"$6,000","$2,400",Online
78,Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's,Street Footwear,"$18,800",$978,Outlet
79,Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's,Street Footwear,"$11,618",$430,Outlet
80,Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's,Street Footwear,"$15,600",$811,Outlet
81,Sports Direct,1197831,4/23/2021,South,Tennessee,Knoxville,Women's,Street Footwear,"$12,246",$576,Outlet
82,Kohl's,1189833,4/26/2021,West,California,Los Angeles,Men's,Athletic Footwear,"$10,064",$292,Outlet
83,Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's,Street Footwear,"$12,804",$666,Outlet
84,Kohl's,1189833,5/19/2021,West,California,Los Angeles,Men's,Street Footwear,"$10,880",$500,Outlet
85,Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's,Street Footwear,"$13,056",$679,Outlet
86,Sports Direct,1197831,9/21/2021,South,Texas,Dallas,Women's,Apparel,"$12,784",$729,Outlet
87,Sports Direct,1197831,4/15/2021,South,Tennessee,Knoxville,Men's,Street Footwear,"$7,888",$394,Outlet
88,Foot Locker,1185732,2/7/2021,Southeast,Georgia,Atlanta,Men's,Street Footwear,"$11,656",$559,Outlet
89,Sports Direct,1197831,4/20/2021,South,Tennessee,Knoxville,Women's,Apparel,"$10,336",$641,Outlet
90,Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's,Street Footwear,"$14,398",$893,Online
91,Walmart,1128299,6/17/2021,Southeast,Florida,Orlando,Men's,Street Footwear,"$13,600",$435,Outlet
92,Sports Direct,1197831,8/22/2021,South,Alabama,Birmingham,Women's,Athletic Footwear,"$7,500","$4,125",Outlet
93,Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's,Street Footwear,"$17,215","$1,050",Online
